root@lamponubuntu2204-s-1vcpu-1gb-tor1-01:~# tcpdump -n -i eth0
tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), snapshot length 262144 bytes
21:24:38.010637 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 6300:6504, ack 1, win 902, options [nop,nop,TS val 4230508428 ecr 1280389339], length 204
21:24:38.010664 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 6504:6540, ack 1, win 902, options [nop,nop,TS val 4230508428 ecr 1280389339], length 36
21:24:38.010702 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 6540:6744, ack 1, win 902, options [nop,nop,TS val 4230508428 ecr 1280389339], length 204
21:24:38.010753 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 6744:6984, ack 1, win 902, options [nop,nop,TS val 4230508428 ecr 1280389339], length 240
21:24:38.010781 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 6984:7020, ack 1, win 902, options [nop,nop,TS val 4230508428 ecr 1280389339], length 36
21:24:38.011022 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 7020:7224, ack 1, win 902, options [nop,nop,TS val 4230508428 ecr 1280389339], length 204
21:24:38.011092 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 7224:7260, ack 1, win 902, options [nop,nop,TS val 4230508428 ecr 1280389339], length 36
21:24:38.011126 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 7260:7464, ack 1, win 902, options [nop,nop,TS val 4230508428 ecr 1280389339], length 204
21:24:38.011153 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 7464:7500, ack 1, win 902, options [nop,nop,TS val 4230508428 ecr 1280389339], length 36
21:24:38.011190 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 7500:7704, ack 1, win 902, options [nop,nop,TS val 4230508429 ecr 1280389339], length 204
21:24:38.011216 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 7704:7740, ack 1, win 902, options [nop,nop,TS val 4230508429 ecr 1280389339], length 36
21:24:38.011252 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 7740:7944, ack 1, win 902, options [nop,nop,TS val 4230508429 ecr 1280389339], length 204
21:24:38.011279 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 7944:7980, ack 1, win 902, options [nop,nop,TS val 4230508429 ecr 1280389339], length 36
21:24:38.011314 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 7980:8184, ack 1, win 902, options [nop,nop,TS val 4230508429 ecr 1280389339], length 204
21:24:38.011340 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 8184:8220, ack 1, win 902, options [nop,nop,TS val 4230508429 ecr 1280389339], length 36
21:24:38.011376 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 8220:8424, ack 1, win 902, options [nop,nop,TS val 4230508429 ecr 1280389339], length 204
