root@lamponubuntu2204-s-1vcpu-1gb-tor1-01:~# tcpdump -i eth0 port 22
tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), snapshot length 262144 bytes
21:26:52.371452 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > pool-99-252-115-234.cpe.net.cable.rogers.com.42082: Flags [P.], seq 5804:5840, ack 1, win 902, options [nop,nop,TS val 4230642789 ecr 1280523697], length 36
21:26:52.371521 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > pool-99-252-115-234.cpe.net.cable.rogers.com.42082: Flags [P.], seq 5840:6092, ack 1, win 902, options [nop,nop,TS val 4230642789 ecr 1280523697], length 252
21:26:52.371560 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > pool-99-252-115-234.cpe.net.cable.rogers.com.42082: Flags [P.], seq 6092:6128, ack 1, win 902, options [nop,nop,TS val 4230642789 ecr 1280523697], length 36
21:26:52.371626 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > pool-99-252-115-234.cpe.net.cable.rogers.com.42082: Flags [P.], seq 6128:6388, ack 1, win 902, options [nop,nop,TS val 4230642789 ecr 1280523697], length 260
21:26:52.371664 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > pool-99-252-115-234.cpe.net.cable.rogers.com.42082: Flags [P.], seq 6388:6424, ack 1, win 902, options [nop,nop,TS val 4230642789 ecr 1280523697], length 36
21:26:52.371718 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > pool-99-252-115-234.cpe.net.cable.rogers.com.42082: Flags [P.], seq 6424:6676, ack 1, win 902, options [nop,nop,TS val 4230642789 ecr 1280523697], length 252
21:26:52.371765 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > pool-99-252-115-234.cpe.net.cable.rogers.com.42082: Flags [P.], seq 6676:6712, ack 1, win 902, options [nop,nop,TS val 4230642789 ecr 1280523697], length 36
21:26:52.371820 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > pool-99-252-115-234.cpe.net.cable.rogers.com.42082: Flags [P.], seq 6712:6972, ack 1, win 902, options [nop,nop,TS val 4230642789 ecr 1280523697], length 260
21:26:52.371860 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > pool-99-252-115-234.cpe.net.cable.rogers.com.42082: Flags [P.], seq 6972:7008, ack 1, win 902, options [nop,nop,TS val 4230642789 ecr 1280523697], length 36
21:26:52.371914 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > pool-99-252-115-234.cpe.net.cable.rogers.com.42082: Flags [P.], seq 7008:7260, ack 1, win 902, options [nop,nop,TS val 4230642789 ecr 1280523697], length 252
21:26:52.371952 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > pool-99-252-115-234.cpe.net.cable.rogers.com.42082: Flags [P.], seq 7260:7296, ack 1, win 902, options [nop,nop,TS val 4230642789 ecr 1280523697], length 36
21:26:52.372017 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > pool-99-252-115-234.cpe.net.cable.rogers.com.42082: Flags [P.], seq 7296:7540, ack 1, win 902, options [nop,nop,TS val 4230642789 ecr 1280523697], length 244
21:26:52.399715 IP pool-99-252-115-234.cpe.net.cable.rogers.com.42082 > lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 7540, win 4907, options [nop,nop,TS val 1280523781 ecr 4230642789], length 0
21:26:52.399783 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > pool-99-252-115-234.cpe.net.cable.rogers.com.42082: Flags [P.], seq 7540:8992, ack 1, win 902, options [nop,nop,TS val 4230642817 ecr 1280523781], length 1452
21:26:52.410358 IP pool-99-252-115-234.cpe.net.cable.rogers.com.42082 > lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 8992, win 4896, options [nop,nop,TS val 1280523809 ecr 4230642817], length 0
21:26:52.474410 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > pool-99-252-115-234.cpe.net.cable.rogers.com.42082: Flags [P.], seq 8992:9252, ack 1, win 902, options [nop,nop,TS val 4230642892 ecr 1280523809], length 260
21:26:52.474477 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > pool-99-252-115-234.cpe.net.cable.rogers.com.42082: Flags [P.], seq 9252:9288, ack 1, win 902, options [nop,nop,TS val 4230642892 ecr 1280523809], length 36
21:26:52.474526 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > pool-99-252-115-234.cpe.net.cable.rogers.com.42082: Flags [P.], seq 9288:9540, ack 1, win 902, options [nop,nop,TS val 4230642892 ecr 1280523809], length 252
21:26:52.474555 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > pool-99-252-115-234.cpe.net.cable.rogers.com.42082: Flags [P.], seq 9540:9576, ack 1, win 902, options [nop,nop,TS val 4230642892 ecr 1280523809], length 36
21:26:52.474594 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > pool-99-252-115-234.cpe.net.cable.rogers.com.42082: Flags [P.], seq 9576:9836, ack 1, win 902, options [nop,nop,TS val 4230642892 ecr 1280523809], length 260
21:26:52.474621 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > pool-99-252-115-234.cpe.net.cable.rogers.com.42082: Flags [P.], seq 9836:9872, ack 1, win 902, options [nop,nop,TS val 4230642892 ecr 1280523809], length 36
21:26:52.474657 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > pool-99-252-115-234.cpe.net.cable.rogers.com.42082: Flags [P.], seq 9872:10124, ack 1, win 902, options [nop,nop,TS val 4230642892 ecr 1280523809], length 252
21:26:52.474684 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > pool-99-252-115-234.cpe.net.cable.rogers.com.42082: Flags [P.], seq 10124:10160, ack 1, win 902, options [nop,nop,TS val 4230642892 ecr 1280523809], length 36
21:26:52.474722 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > pool-99-252-115-234.cpe.net.cable.rogers.com.42082: Flags [P.], seq 10160:10420, ack 1, win 902, options [nop,nop,TS val 4230642892 ecr 1280523809], length 260
21:26:52.474748 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > pool-99-252-115-234.cpe.net.cable.rogers.com.42082: Flags [P.], seq 10420:10456, ack 1, win 902, options [nop,nop,TS val 4230642892 ecr 1280523809], length 36
